station_index	osm_type	osm_id	nearest_node_id	lat	lon	max_kw	power_inferred	power_source	operator	name	tags_json
0	node	2944174209	1824	64.1010773	-21.8731905	22.0	1	connector_tier:socket:type2	Elko		"{""amenity"": ""charging_station"", ""capacity"": ""2"", ""motorcar"": ""yes"", ""operator"": ""Elko"", ""socket:type2"": ""1"", ""voltage"": ""380""}"
1	node	2962709565	291	64.1400856	-21.8888305	22.0	1	connector_tier:socket:type2			"{""amenity"": ""charging_station"", ""socket:type2"": ""2""}"
2	node	3098691344	1088	64.100429	-21.8844807	22.0	1	connector_tier:socket:type2	Orka náttúrunnar	ON	"{""access"": ""customers"", ""amenity"": ""charging_station"", ""capacity"": ""3"", ""fee"": ""yes"", ""motorcar"": ""yes"", ""name"": ""ON"", ""operator"": ""Orka n\u00e1tt\u00farunnar"", ""operator:wikidata"": ""Q25051792"", ""socket:type2"": ""1""}"
3	node	3760569527	570	66.0259509	-16.4954079		1	unknown		Camper Power Supply	"{""amenity"": ""charging_station"", ""name"": ""Camper Power Supply""}"
4	node	3760569528	570	66.0257976	-16.4949941		1	unknown		Camper Power Supply	"{""amenity"": ""charging_station"", ""name"": ""Camper Power Supply""}"
5	node	3760746578	570	66.0254576	-16.4951463		1	unknown			"{""amenity"": ""charging_station"", ""fixme"": ""location approximate""}"
6	node	3760746579	570	66.0253995	-16.4956109		1	unknown			"{""amenity"": ""charging_station"", ""fixme"": ""location approximate""}"
7	node	3760746580	570	66.0251707	-16.4949318		1	unknown			"{""amenity"": ""charging_station"", ""fixme"": ""location approximate""}"
8	node	3760746581	570	66.0250364	-16.495316		1	unknown			"{""amenity"": ""charging_station"", ""fixme"": ""location approximate""}"
9	node	3760746582	570	66.0248585	-16.4948872		1	unknown			"{""amenity"": ""charging_station"", ""fixme"": ""location approximate""}"
10	node	3760746586	570	66.0235624	-16.4975765		1	unknown			"{""amenity"": ""charging_station"", ""fixme"": ""location approximate""}"
11	node	4346238381	1004	65.6840867	-18.0868575	150.0	1	connector_tier:socket:type2_combo	Orka náttúrunnar	Akureyri (Hof)	"{""access"": ""permissive"", ""amenity"": ""charging_station"", ""brand"": ""ON"", ""capacity"": ""2"", ""charge"": ""69 ISK/kWh"", ""fee"": ""yes"", ""motorcar"": ""yes"", ""name"": ""Akureyri (Hof)"", ""operator"": ""Orka n\u00e1tt\u00farunnar"", ""operator:wikidata"": ""Q25051792"", ""payment:app"": ""yes"", ""payment:rfid_card"": ""yes"", ""socket:chademo"": ""1"", ""socket:chademo:output"": ""63 kW"", ""socket:type2_combo"": ""2"", ""socket:type2_combo:output"": ""150 kW""}"
12	node	5334914021	1461	64.1318679	-21.892781	150.0	1	connector_tier:socket:type2_combo	Orkan	Orkan - Miklabraut Suður	"{""access"": ""permissive"", ""amenity"": ""charging_station"", ""brand"": ""Orkan"", ""capacity"": ""4"", ""charge"": ""47 ISK/kWh + 47 ISK/min (after 60 min)"", ""fee"": ""yes"", ""name"": ""Orkan - Miklabraut Su\u00f0ur"", ""operator"": ""Orkan"", ""payment:app"": ""yes"", ""payment:rfid_card"": ""yes"", ""socket:chademo"": ""1"", ""socket:chademo:output"": ""60 kW"", ""socket:type2_combo"": ""4"", ""socket:type2_combo:output"": ""350 kW""}"
