u	v	length	name	highway	maxspeed_kph	oneway
0	2682	1948.768	Reykjanesbraut	trunk	90.0	1
1	3	18.992	Hlíðartorg	trunk	60.0	1
1	1658	653.666	Reykjanesbraut	trunk	60.0	1
2	1801	423.64	Reykjanesbraut	trunk	90.0	1
2	2678	208.144		trunk_link	50.0	1
3	12	8.737	Hlíðartorg	trunk	60.0	1
4	10	14.669	Hlíðartorg	trunk	60.0	1
5	550	242.714	Fjarðarhraun	primary	60.0	1
5	14	27.836	FH-Torg	primary	60.0	1
6	1947	245.206	Reykjanesbraut	trunk	80.0	1
6	1946	186.31		trunk_link	50.0	1
7	1237	2896.73	Reykjanesbraut	trunk	90.0	1
8	2046	233.096		trunk_link		1
8	0	483.358	Reykjanesbraut	trunk	90.0	1
9	1241	257.243		trunk_link	90.0	1
9	7	482.499	Reykjanesbraut	trunk	90.0	1
10	1634	638.574	Reykjanesbraut	trunk	80.0	1
10	13	29.583	Hlíðartorg	trunk	60.0	1
11	5	42.956	FH-Torg	primary	60.0	1
12	605	240.672	Lækjargata	secondary	40.0	1
12	4	19.212	Hlíðartorg	trunk	60.0	1
13	1	47.145	Hlíðartorg	trunk	60.0	1
14	1033	46.638	FH-Torg	primary	60.0	1
15	16	613.782	Reykjanesbraut	trunk	70.0	0
15	1992	586.858	Reykjanesbraut	trunk	70.0	1
16	15	613.782	Reykjanesbraut	trunk	70.0	0
16	1539	187.243	Reykjanesbraut	trunk	70.0	1
17	570	3685.909	Ásbyrgisvegur	secondary	90.0	0
18	2182	13.881	Kaupvangsstræti	secondary	50.0	1
18	630	86.139	Drottningarbraut	trunk	50.0	1
19	624	866.716	Þingvallastræti|Kaupvangsstræti	secondary	30.0	0
19	18	89.778	Kaupvangsstræti	secondary	30.0	1
20	1164	2497.021	Suðurlandsvegur	trunk	90.0	0
20	728	1567.127	Hafnarvegur	primary	90.0	0
20	23	6647.659	Austurlandsvegur	trunk	90.0	0
21	240	2984.64	Norðurlandsvegur	trunk	90.0	0
21	978	1340.151	Norðurlandsvegur	trunk	70.0	0
21	910	23324.505	Bárðardalsvegur vestri	primary		0
22	2442	106.647	Austurlandsvegur	trunk	50.0	1
22	2127	1065.534	Austurlandsvegur	trunk	70.0	0
23	727	4426.219	Stokksnesvegur	secondary		0
23	358	2029.764	Almannaskarðsgöng|Austurlandsvegur	trunk	70.0	0
23	20	6647.659	Austurlandsvegur	trunk	90.0	0
24	106	15365.779	Austurlandsvegur	trunk	90.0	0
24	759	1982.316	Austurlandsvegur	trunk	90.0	0
24	1168	19458.333	Hróarstunguvegur	secondary	90.0	0
25	29	697.772	Suðurlandsvegur	trunk	80.0	0
25	340	165.742	Suðurlandsvegur	trunk	80.0	1
26	116	43.108	Suðurlandsvegur	trunk	70.0	1
26	860	22298.713	Suðurlandsvegur	trunk	70.0	0
27	589	332.143	Vesturlandsvegur	trunk_link	50.0	1
27	234	624.878		trunk_link	80.0	1
28	1908	1261.281	Dimmuborgavegur	secondary	30.0	0
28	689	2679.335	Mývatnssveitarvegur	secondary	70.0	0
28	40	15074.191	Mývatnssveitarvegur	secondary	70.0	0
29	2507	60.678	Suðurlandsvegur	trunk	80.0	1
29	25	697.772	Suðurlandsvegur	trunk	80.0	0
30	1313	1831.067	Bakki|Djúpavogsvegur|Mörk|Vogaland|Búland	primary	70.0	0
30	358	88699.403	Austurlandsvegur	trunk	70.0	0
30	2461	18608.055	Austurlandsvegur	trunk	90.0	0
31	386	179.745		trunk_link	50.0	1
31	1216	407.479	Vesturlandsvegur	trunk	80.0	1
32	691	144.408	Miklabraut|Vesturlandsvegur	trunk	80.0	1
33	1291	1850.445	Skaftafellsvegur	secondary		0
33	861	41281.214	Suðurlandsvegur	trunk	90.0	0
33	2486	125436.028	Suðurlandsvegur	trunk	90.0	0
34	2242	6.981		trunk_link		1
34	35	1480.831	Suðurlandsvegur	trunk	90.0	1
35	36	196.478	Suðurlandsvegur	trunk	90.0	1
35	1955	45.359		trunk_link		1
36	37	2507.853	Suðurlandsvegur	trunk	90.0	1
37	385	673.249		trunk_link	90.0	1
37	958	865.027	Suðurlandsvegur	trunk	90.0	1
38	2411	1512.405	Suðurlandsvegur	trunk	90.0	0
38	2308	318.569	Suðurlandsvegur	trunk	90.0	1
39	2248	357.67	Suðurlandsvegur	trunk	90.0	1
39	2411	1484.543	Suðurlandsvegur	trunk	90.0	0
40	61	3051.51	Norðurlandsvegur	trunk	90.0	0
40	556	12352.942	Norðurlandsvegur	trunk	90.0	0
40	28	15074.191	Mývatnssveitarvegur	secondary	70.0	0
41	1039	5.398	Ástorg	primary	50.0	1
42	1629	220.337	Strandgata	primary	50.0	1
42	41	25.407	Ástorg	primary	50.0	1
43	1306	577.711	Strandgata	secondary	40.0	1
43	518	24.709	Flensborgartorg	primary	50.0	1
44	42	63.578	Ástorg	primary	50.0	1
45	51	535.571	Hakið	secondary		0
46	74	507.643	Vesturlandsvegur	trunk	70.0	1
46	2266	33.021	Lágafellstorg	trunk	50.0	1
47	52	363.738	Hafnarfjarðarvegur	primary	80.0	1
48	1177	91.688	Hafnarfjarðarvegur	primary	80.0	1
49	2347	13998.761	Uxahryggjavegur	secondary	90.0	0
49	60	611.785	Uxahryggjavegur	secondary	90.0	0
49	936	4328.307	Dragavegur	secondary	80.0	0
50	611	363.113		trunk_link	50.0	1
50	641	252.921	Vesturlandsvegur	trunk	80.0	1
51	1557	42.712	Hakið	secondary		1
51	45	535.571	Hakið	secondary		0
52	587	379.111	Hafnarfjarðarvegur	primary	80.0	1
53	59	45.994	Vesturlandsvegur	trunk	50.0	1
54	1112	5121.579	Vesturlandsvegur	trunk	90.0	0
54	2207	51.785	Vesturlandsvegur	trunk	50.0	1
55	511	8361.941	Reykdælavegur	secondary	70.0	0
55	720	588.468	Borgarfjarðarbraut	primary	70.0	0
55	1741	4327.509	Borgarfjarðarbraut	primary	70.0	0
56	53	53.723	Borgarbraut	trunk	50.0	1
56	2736	57.315	Borgarbraut	trunk	50.0	0
57	915	3712.85	Borgarfjarðarbraut	primary	90.0	0
57	1741	3702.348	Borgarfjarðarbraut	primary	90.0	0
57	1741	14540.705	Flókadalsvegur	secondary		0
58	1798	244.752	Borgarbraut	trunk	50.0	0
58	2736	256.993	Borgarbraut	trunk	50.0	1
59	2207	22.437	Vesturlandsvegur	trunk	50.0	1
59	54	51.592	Vesturlandsvegur	trunk	50.0	1
60	1253	1515.712	Borgarfjarðarbraut	primary	90.0	0
60	915	2110.895	Borgarfjarðarbraut	primary	90.0	0
60	49	611.785	Uxahryggjavegur	secondary	90.0	0
61	909	34963.018	Lundarbrekkuvegur|Mývatnsheiðarvegur	secondary		0
61	71	17228.583	Laugar|Norðurlandsvegur	trunk	90.0	0
61	40	3051.51	Norðurlandsvegur	trunk	90.0	0
62	978	9642.193	Norðurlandsvegur	trunk	90.0	0
62	1084	2042.789	Aðaldalsvegur	primary	90.0	0
62	71	2377.76	Laugar|Norðurlandsvegur	trunk	70.0	0
63	334	25377.536	Hólsfjallavegur	secondary	80.0	0
63	2455	745.251	Dettifossvegur eystri	secondary		0
63	64	31030.566	Hólsfjallavegur	secondary	90.0	0
64	63	31030.566	Hólsfjallavegur	secondary	90.0	0
64	103	46544.633	Norðurlandsvegur	trunk	90.0	0
64	711	4055.425	Norðurlandsvegur	trunk	90.0	0
65	712	21057.818	Dettifossvegur	secondary	90.0	0
65	66	19954.518	Norðurlandsvegur	trunk	90.0	0
65	711	6524.862	Norðurlandsvegur	trunk	90.0	0
66	67	3215.44	Norðurlandsvegur	trunk	70.0	0
66	2293	8888.09	Kröfluvegur	secondary		0
66	65	19954.518	Norðurlandsvegur	trunk	90.0	0
67	68	983.291		secondary		0
67	66	3215.44	Norðurlandsvegur	trunk	70.0	0
67	69	566.717	Norðurlandsvegur	trunk	90.0	0
68	67	983.291		secondary		0
69	689	4099.589	Grjótagjárvegur	secondary	30.0	0
69	70	2116.654	Norðurlandsvegur	trunk	90.0	0
69	67	566.717	Norðurlandsvegur	trunk	90.0	0
70	556	3939.365	Hraunvegur|Norðurlandsvegur	trunk	90.0	0
70	69	2116.654	Norðurlandsvegur	trunk	90.0	0
70	689	2108.651	Mývatnssveitarvegur	secondary	70.0	0
71	62	2377.76	Laugar|Norðurlandsvegur	trunk	70.0	0
71	1084	5777.917	Austurhlíðarvegur	secondary	80.0	0
71	61	17228.583	Laugar|Norðurlandsvegur	trunk	90.0	0
72	73	17.676	Vesturlandsvegur	trunk	70.0	1
73	75	25.94	Vesturlandsvegur	trunk	70.0	1
73	1675	271.671	Reykjavegur	secondary	50.0	1
74	72	131.664	Vesturlandsvegur	trunk	70.0	1
74	2633	113.857		trunk_link	50.0	1
75	1025	12.913	Vesturlandsvegur	trunk	70.0	1
76	2414	77.646	Borgarfjarðarbraut	primary	90.0	1
76	1254	7901.982	Borgarfjarðarbraut	primary	90.0	0
77	2415	8.265	Borgarfjarðarbraut	primary	90.0	1
77	899	134.465	Vesturlandsvegur	trunk	90.0	1
78	695	333.349	Suðurlandsvegur	trunk_link	50.0	1
78	589	509.544	Vesturlandsvegur	trunk	80.0	1
79	78	324.517	Vesturlandsvegur	trunk	80.0	1
80	81	147.39	Hálsasveitarvegur	primary	90.0	0
80	1712	13366.899	Hálsasveitarvegur	primary	90.0	0
80	511	12140.28	Reykholtsdalsvegur	secondary		0
81	729	11385.483	Hálsasveitarvegur	primary	90.0	0
81	80	147.39	Hálsasveitarvegur	primary	90.0	0
81	723	653.611	Reykholtsdalsvegur	secondary	90.0	0
82	2286	14695.035	Ketildalavegur|Dalbraut|Tjarnarbraut	secondary	30.0	0
82	1566	6315.658	Bíldudalsvegur	primary	90.0	0
82	89	14552.141	Bíldudalsvegur	primary	90.0	0
83	87	41799.902	Barðastrandarvegur	primary	90.0	0
83	2487	396.827	Brjánslækjarvegur	secondary		0
83	85	5639.555	Barðastrandarvegur	primary	90.0	0
84	2755	38.465	Strandgata	primary	50.0	0
84	87	12140.191	Barðastrandarvegur	primary	90.0	0
84	89	12816.319	Bíldudalsvegur	primary	90.0	0
85	2684	109140.756	Vestfjarðavegur	primary	90.0	0
85	83	5639.555	Barðastrandarvegur	primary	90.0	0
85	88	7456.23	Vestfjarðavegur	primary	90.0	0
86	2755	61.478	Strandgata	primary	50.0	1
86	1206	1749.277	Þórsgata|Strandgata	primary	30.0	0
87	2292	46074.48	Örlygshafnarvegur	secondary	30.0	0
87	84	12140.191	Barðastrandarvegur	primary	90.0	0
87	83	41799.902	Barðastrandarvegur	primary	90.0	0
88	1566	29310.762	Bíldudalsvegur	primary	80.0	0
88	85	7456.23	Vestfjarðavegur	primary	90.0	0
88	91	21134.585	Vestfjarðavegur	primary	90.0	0
89	2512	2891.42	Tálknafjarðarvegur	primary	90.0	0
89	84	12816.319	Bíldudalsvegur	primary	90.0	0
89	82	14552.141	Bíldudalsvegur	primary	90.0	0
