id	x	y	lon	lat
0	347455.398	395070.736	-22.1213701	64.0249822
1	356654.934	399349.526	-21.9374735	64.0672714
2	349659.775	396020.416	-22.077281	64.0344595
3	356636.442	399349.091	-21.9378515	64.0672598
4	356624.272	399325.852	-21.9380784	64.0670465
5	356545.742	400321.477	-21.9406337	64.0759348
6	351685.424	396707.886	-22.036558	64.0414971
7	335399.217	389910.232	-22.3620048	63.9732111
8	347049.504	394806.165	-22.1293942	64.022432
9	335813.389	390160.609	-22.3538322	63.975651
10	356631.07	399313.036	-21.9379271	64.0669345
11	356545.038	400358.294	-21.9406832	64.0762644
12	356629.505	399343.8	-21.9379884	64.0672095
13	356658.537	399310.877	-21.937363	64.0669266
14	356571.992	400322.442	-21.9400973	64.0759544
15	326098.389	390526.694	-22.552294	63.9741723
16	325784.093	391054.953	-22.5593075	63.9787447
17	612911.29	613917.076	-16.5125795	66.0017867
18	541942.171	576239.683	-18.0875926	65.6811058
19	541855.48	576215.138	-18.0894859	65.6808969
20	684741.45	426433.098	-15.1825586	64.290042
21	566019.991	577962.089	-17.5631011	65.6925384
22	714345.052	537020.501	-14.4070257	65.2621918
23	691165.806	426104.662	-15.0505705	64.2835636
24	712214.226	540887.359	-14.4465687	65.2981664
25	364666.449	403302.648	-21.7770724	64.1059415
26	547361.228	366021.283	-18.0392214	63.7949757
27	364378.219	405282.614	-21.7847679	64.1235709
28	595537.068	568412.852	-16.9278739	65.5995804
29	364520.56	403975.786	-21.7806694	64.1119162
30	723780.424	470117.818	-14.3117047	64.657485
31	362056.64	405409.294	-21.8324909	64.1237812
32	361256.55	405579.978	-21.8490554	64.1249883
33	600574.524	390768.162	-16.9439604	64.0055042
34	376301.763	397588.215	-21.5338839	64.0591112
35	377759.881	397388.121	-21.5038844	64.0578388
36	377921.025	397274.664	-21.5004952	64.0568791
37	379783.018	395586.977	-21.4610505	64.0424076
38	381721.642	393803.971	-21.420006	64.0270973
39	384228.519	392713.494	-21.3679278	64.0181742
40	586072.295	566534.078	-17.1342341	65.5853817
41	355162.255	398009.45	-21.9667295	64.0546391
42	355174.842	397989.517	-21.9664529	64.0544658
43	355407.722	398814.174	-21.9624808	64.0619527
44	355139.853	397999.877	-21.9671785	64.0545439
45	396646.89	418696.509	-21.1320481	64.2550587
46	368399.538	409698.676	-21.7061783	64.1647118
47	358193.228	403075.804	-21.9095069	64.1012981
48	358487.63	404405.496	-21.9047277	64.1133342
49	375596.223	455174.452	-21.5967487	64.5749859
50	365406.237	406183.437	-21.7644946	64.1320481
51	396119.83	418667.61	-21.1428922	64.2546398
52	358462.886	403309.487	-21.9042021	64.1035032
53	361127.22	454131.102	-21.8973698	64.5599974
54	361115.916	454217.74	-21.8976881	64.5607691
55	385505.194	464153.154	-21.397223	64.6589742
56	361107.527	454081.095	-21.8977323	64.5595412
57	379684.568	459355.851	-21.5149723	64.6139457
58	360961.15	453803.218	-21.9005161	64.556991
59	361128.936	454168.107	-21.8973694	64.5603297
60	375404.897	455753.258	-21.6012347	64.580103
61	583335.924	567677.016	-17.1928088	65.596341
62	573028.309	583232.613	-17.4077405	65.7382874
63	620081.75	594432.989	-16.3726219	65.8246008
64	629975.603	572718.503	-16.1776215	65.6262142
65	620602.56	574901.852	-16.3789475	65.6493959
66	601375.068	573699.261	-16.7973581	65.6451956
67	598864.22	572981.397	-16.8524001	65.6395358
68	599140.383	572083.802	-16.8470695	65.631406
69	598295.365	572972.863	-16.864754	65.6396321
70	596179.824	572935.887	-16.9107021	65.6399345
71	574654.795	581538.651	-17.3732434	65.7227289
72	369019.791	409735.74	-21.6934716	64.1652815
73	369037.118	409733.674	-21.6931139	64.1652696
74	368903.281	409675.601	-21.6958119	64.164698
75	369056.212	409749.966	-21.692736	64.1654229
76	361700.762	450413.24	-21.8818867	64.5269172
77	361614.819	450415.756	-21.8836775	64.5269046
78	364082.937	405384.984	-21.7909159	64.1243715
79	363757.18	405384.807	-21.7975961	64.1242408
80	402431.028	468122.168	-21.0457969	64.6998896
81	402575.592	468152.961	-21.0427887	64.7002076
82	288099.181	583224.121	-23.6129002	65.677093
83	306037.428	565476.167	-23.1979884	65.5295041
84	270881.329	574786.092	-23.9718112	65.589937
85	307648.815	570581.41	-23.1704929	65.5761481
86	270781.079	574787.664	-23.9739803	65.5898804
87	279082.598	567554.25	-23.7826887	65.5309377
88	304783.008	576845.906	-23.2415433	65.6304997
89	280057.499	575773.942	-23.7750789	65.6051087
90	295467.63	591990.61	-23.4664976	65.7602533
91	307158.411	589249.35	-23.207997	65.7429144
92	302596.393	601801.91	-23.3259538	65.8524719
93	377562.751	581387.946	-21.6668219	65.7068278
94	355851.146	587611.123	-22.1457446	65.7536323
95	337026.341	608448.193	-22.5814687	65.9312573
96	376234.797	580852.761	-21.6952147	65.7015274
97	423234.378	549507.947	-20.6544691	65.435057
98	400976.556	526484.811	-21.1172413	65.2226885
99	423756.618	559286.299	-20.6487138	65.5228523
100	421459.481	549995.836	-20.6929855	65.43901
101	703715.497	555033.192	-14.6072712	65.4301172
102	709928.725	527044.324	-14.5164727	65.1757808
103	661829.824	555666.877	-15.5076275	65.4592047
104	736938.919	487049.416	-14.0091882	64.7998931
105	679500.759	540154.224	-15.1475569	65.3110989
106	705253.531	553496.106	-14.5765297	65.4154031
107	719686.282	489942.972	-14.3667843	64.8375424
108	736751.285	486926.384	-14.0133281	64.7989256
109	704280.471	555225.025	-14.5948402	65.4314813
110	714314.784	536911.355	-14.4078416	65.2612351
111	547488.725	365539.483	-18.0367843	63.7906373
112	547346.666	365972.202	-18.0395319	63.7945375
113	547331.305	365959.068	-18.0398475	63.7944218
114	547316.319	365969.321	-18.0401483	63.7945158
115	547345.329	365981.67	-18.0395561	63.7946226
116	547330.762	365990.592	-18.0398488	63.7947046
117	439149.406	361149.159	-20.232438	63.7491832
118	421171.985	379661.719	-20.6059287	63.9115719
119	432717.17	369813.779	-20.3664675	63.8256981
120	450113.725	345813.728	-20.0054742	63.6133978
121	456295.928	341227.359	-19.879601	63.5730937
122	474672.662	335105.126	-19.5087756	63.5199968
123	410111.32	383514.935	-20.8334204	63.943423
124	401307.221	384278.579	-21.0133737	63.9478672
125	474914.803	335543.613	-19.5039819	63.5239468
126	419170.847	380559.981	-20.6471555	63.9191646
127	487534.846	329434.137	-19.2499537	63.469828
128	436480.999	364885.587	-20.2880096	63.7822131
129	497566.259	327708.97	-19.0487754	63.4545681
130	401292.359	384299.676	-21.0136904	63.9480521
131	448959.626	346825.817	-20.0290634	63.6223076
132	444310.996	352326.836	-20.1247421	63.6709298
133	401015.216	384503.63	-21.0194733	63.9498013
134	451916.253	343661.068	-19.9684848	63.5943452
135	397059.758	385567.814	-21.100835	63.9581857
136	402482.799	400152.344	-20.9996473	64.0905157
137	403752.929	396566.242	-20.9713272	64.0587222
138	358159.992	408025.272	-21.9148669	64.145634
139	359212.049	408188.144	-21.8934301	64.1475268
140	359195.854	407352.929	-21.8929775	64.1400361
141	359983.215	406136.656	-21.8756867	64.1294596
142	352328.356	468877.907	-22.095716	64.6883914
143	271744.817	479762.779	-23.7969923	64.7407505
144	291228.842	489310.002	-23.4028491	64.8388706
145	316378.512	501823.203	-22.8901005	64.965661
146	282189.435	495759.261	-23.6027119	64.890804
147	272161.961	499701.512	-23.820148	64.9193708
148	268492.262	482986.003	-23.8702881	64.7673503
149	361101.77	454139.333	-21.8979079	64.5600607
150	323049.982	488405.111	-22.7323348	64.849124
151	354868.504	408792.804	-21.9831528	64.1511345
